timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,pressure
2.164597,-0.007076,0.046604,1.016748,0.001734,-0.000478,-0.002165,-2.737026,-19.549915,43.226440,1016.112793
2.174552,-0.007564,0.046360,1.016016,0.001405,-0.001971,-0.000928,-2.793163,-19.628904,43.056435,1016.112793
2.189524,-0.005368,0.046116,1.017236,0.000180,-0.000737,-0.000011,-2.838072,-19.692097,42.920433,1016.112793
2.198337,-0.004880,0.047092,1.016748,0.001078,-0.002226,0.000289,-2.874000,-19.742649,42.985260,1016.114014
2.208301,-0.005124,0.046604,1.016504,0.000760,-0.001888,0.001486,-2.799130,-19.895092,43.037121,1016.114014
2.226289,-0.007564,0.046360,1.017480,-0.001055,-0.000956,-0.000641,-2.739234,-20.017046,43.078609,1016.114014
2.241224,-0.006100,0.047336,1.017968,-0.001938,-0.000339,-0.001832,-2.691318,-20.114609,43.111801,1016.113037
2.251178,-0.006832,0.047824,1.016504,0.000197,-0.000634,-0.001501,-2.652984,-20.013460,43.123577,1016.113037
2.266115,-0.006588,0.047580,1.016504,-0.000708,-0.001524,-0.000274,-2.589939,-19.932541,43.132999,1016.113037
2.274958,-0.005612,0.046360,1.016992,-0.001897,-0.000297,0.000031,-2.539502,-19.867805,43.140537,1016.115967
2.284918,-0.006588,0.046604,1.018700,-0.001565,0.000909,0.000030,-2.499153,-19.816017,43.146568,1016.115967
2.299914,-0.007320,0.046116,1.017724,-0.001538,0.001795,-0.000271,-2.466874,-19.858585,43.088589,1016.115967
2.308732,-0.007564,0.046604,1.017968,-0.000612,-0.000037,-0.001467,-2.505808,-19.892641,43.042206,1016.115967
2.317552,-0.005612,0.047092,1.017236,-0.000001,-0.000037,-0.002344,-2.536955,-19.919886,43.005100,1016.109863
2.327509,-0.006100,0.048556,1.016748,-0.000301,-0.000036,0.000398,-2.561873,-19.941681,42.975414,1016.109863
2.345506,-0.006832,0.045140,1.019432,0.000905,0.000265,0.000091,-2.581807,-19.959118,43.158543,1016.109863
2.360435,-0.006832,0.046848,1.016016,-0.000912,0.001462,0.000991,-2.643085,-19.978666,43.305046,1016.104492
2.370385,-0.005368,0.046360,1.017236,-0.000596,-0.001266,0.000073,-2.692107,-19.994305,43.422249,1016.104492
2.385327,-0.006344,0.046604,1.016260,0.000315,-0.000644,-0.002030,-2.731325,-20.006817,43.516010,1016.104492
2.394141,-0.007808,0.046360,1.016504,-0.000291,0.000568,-0.001095,-2.762699,-20.016827,43.672295,1016.104492
2.402962,-0.005856,0.045628,1.015772,0.001215,0.000258,-0.000476,-2.781322,-19.851234,43.797321,1016.103516
2.412910,-0.006344,0.046360,1.017236,0.000894,-0.001247,0.000433,-2.796221,-19.718760,43.897343,1016.103516
2.427844,-0.007320,0.047092,1.017968,-0.000922,0.001476,0.000426,-2.808139,-19.612780,43.977360,1016.103516
2.436677,-0.007564,0.045872,1.018456,0.000294,-0.000350,-0.000182,-2.817674,-19.527996,44.041374,1016.100342
2.446637,-0.006832,0.046848,1.016748,-0.000011,-0.002146,-0.001080,-1.996410,-19.549768,43.885708,1016.100342
2.464627,-0.008052,0.046360,1.016504,0.002692,-0.001810,0.000740,-1.974020,-19.567186,43.761173,1016.100342
2.479573,-0.007320,0.047336,1.016016,-0.000356,0.000323,-0.000474,-1.956107,-19.581121,43.661545,1016.100342
2.489550,-0.006100,0.047824,1.016992,-0.000651,0.001819,-0.002268,-1.941777,-19.592270,43.581844,1016.100342
2.504518,-0.006832,0.045872,1.016748,-0.001240,0.001488,0.001975,-2.020973,-19.701988,43.255791,1016.100342
2.513726,-0.006588,0.046116,1.014796,0.000582,-0.000940,0.000140,-2.084330,-19.789762,42.994949,1016.100342
2.522613,-0.007320,0.047092,1.015040,0.000873,-0.002425,-0.002265,-2.135015,-19.859982,42.786274,1016.101318
2.532576,-0.007076,0.046360,1.015040,0.000258,0.000318,0.000476,-2.175564,-19.916157,42.619335,1016.101318
2.547501,-0.007320,0.046604,1.016504,-0.000347,-0.001789,0.000167,-2.097915,-20.089897,42.522724,1016.101318
2.556376,-0.006344,0.047092,1.015528,0.000259,0.000343,0.001066,-2.035796,-20.228889,42.445438,1016.101318
2.565198,-0.006100,0.045628,1.016504,0.001456,0.000637,-0.001655,-1.986101,-20.340084,42.383610,1016.103271
2.575143,-0.005856,0.044896,1.017236,0.001131,0.001528,0.000775,-1.946345,-20.429039,42.334145,1016.103271
2.590075,-0.006588,0.046360,1.016260,0.000512,-0.001201,-0.001040,-1.914540,-20.500204,42.146801,1016.103271
