time,lat,lon,alt,vn,ve,vd,roll,pitch,yaw
84846.416000000,0.785384453,0.000005279,-26.400984508,-59.505829414,15.328742528,30.432575196,3.067438397,3.128062116,-0.005866650
84846.431000000,0.785384229,0.000005335,-26.996599058,-59.888599265,15.324897581,30.524524307,3.072225092,3.093326453,0.016078856
84846.443000000,0.785384041,0.000005376,-27.480421218,-60.249845222,15.318993865,30.609263583,3.075858253,3.061238174,0.038133572
84846.457000000,0.785383833,0.000005424,-28.038277598,-60.589200393,15.303389275,30.688503279,3.078086080,3.032011520,0.060520302
84846.473000000,0.785383620,0.000005474,-28.616836673,-60.904904176,15.280348325,30.761784987,3.079096172,3.005688791,0.083022359
84846.485000000,0.785383449,0.000005509,-29.067699343,-61.195594736,15.256864033,30.828328594,3.079248743,2.981774777,0.105329633
84846.499000000,0.785383256,0.000005551,-29.597777587,-61.466755642,15.224792972,30.890806474,3.078263552,2.960474929,0.127782365
84846.512000000,0.785383081,0.000005588,-30.076378660,-61.713151200,15.189457356,30.947476294,3.076518960,2.941620594,0.150101961
84846.524000000,0.785382922,0.000005618,-30.508496989,-61.936359897,15.151517955,30.998807936,3.074127598,2.924978872,0.172190377
84846.535000000,0.785382769,0.000005648,-30.929303712,-62.137905182,15.109866713,31.045475511,3.071049268,2.910533580,0.194094797
84846.551000000,0.785382586,0.000005688,-31.455540402,-62.321417323,15.059454796,31.089030987,3.067220423,2.898585976,0.216037857
84846.567000000,0.785382395,0.000005731,-32.014254097,-62.480575609,15.002572406,31.127466007,3.062800885,2.889293360,0.237792608
84846.579000000,0.785382254,0.000005758,-32.420206378,-62.607489849,14.948575099,31.158239132,3.058271877,2.882056425,0.258877014
84846.592000000,0.785382105,0.000005789,-32.860621629,-62.714641637,14.889640287,31.185309357,3.053397008,2.876914573,0.279785537
84846.605000000,0.785381969,0.000005815,-33.264319326,-62.797983546,14.829530671,31.207175232,3.048406179,2.873687004,0.300225891
84846.619000000,0.785381816,0.000005848,-33.729845795,-62.863881147,14.763684074,31.225629261,3.043143537,2.872399906,0.320475657
84846.635000000,0.785381661,0.000005883,-34.211905279,-62.905432660,14.694444122,31.238955033,3.037807342,2.873333547,0.340335514
