time,lat,lon,alt,vn,ve,vd,roll,pitch,yaw
24364.130000000,0.785408986,-0.000043975,-119.499530262,31.711040709,-103.309653149,87.984980695,0.621125199,-0.143521631,0.235346624
24364.153000000,0.785408883,-0.000044420,-121.322796897,30.900266380,-103.277773922,88.098114882,0.612588983,-0.167825515,0.273662696
24364.179000000,0.785408711,-0.000044895,-123.279910280,29.801407861,-103.183556434,88.145033830,0.603148521,-0.204320956,0.320146884
24364.203000000,0.785408458,-0.000045295,-124.930596098,28.467206788,-103.028400754,88.053176926,0.594593949,-0.250597327,0.373262125
24364.229000000,0.785408139,-0.000045741,-126.720749384,26.861283891,-102.849502987,87.906787421,0.589357650,-0.307619186,0.434085065
24364.255000000,0.785407741,-0.000046178,-128.412419900,24.988718471,-102.650033287,87.655669117,0.589654534,-0.374678446,0.503050518
24364.278000000,0.785407267,-0.000046557,-129.799574583,22.910337009,-102.439142279,87.272798907,0.597590285,-0.449026034,0.579712645
24364.304000000,0.785406727,-0.000047000,-131.317903587,20.574478360,-102.253509726,86.831355199,0.617173115,-0.531128259,0.667349319
24364.330000000,0.785406114,-0.000047454,-132.739383596,18.005649032,-102.097513901,86.283454983,0.652224044,-0.619054007,0.768585408
24364.354000000,0.785405435,-0.000047867,-133.865199528,15.277182517,-101.971993829,85.603781467,0.706586507,-0.708808622,0.885721358
24364.380000000,0.785404695,-0.000048361,-135.115997700,12.330437109,-101.913643123,84.851938673,0.788776592,-0.798793287,1.027091958
24364.406000000,0.785403887,-0.000048896,-136.318099066,9.184071947,-101.923983085,83.986573968,0.908298158,-0.884697702,1.201644196
24364.433000000,0.785403015,-0.000049454,-137.386526385,5.873465344,-102.002632201,82.990933657,1.075495552,-0.959353996,1.419055611
24364.459000000,0.785402085,-0.000050048,-138.360857720,2.422374154,-102.151974977,81.870159050,1.297044894,-1.013582351,1.685559298
24364.482000000,0.785401115,-0.000050621,-139.050660159,-1.080040409,-102.347296214,80.617878835,1.561371314,-1.036768616,1.989383213
24364.508000000,0.785400096,-0.000051294,-139.855041068,-4.693668902,-102.626530363,79.269376473,1.842624263,-1.020888860,2.305220525
24364.534000000,0.785399031,-0.000052017,-140.567304993,-8.372117580,-102.984994770,77.798629993,2.101490723,-0.964943326,2.593981216
24364.558000000,0.785397939,-0.000052727,-141.006661107,-12.029655169,-103.401278233,76.217976504,2.312625315,-0.876752521,2.830815648
24364.584000000,0.785396803,-0.000053551,-141.556582203,-15.719946282,-103.919412170,74.547249533,2.478241699,-0.763757367,3.018147565
24364.607000000,0.785395650,-0.000054367,-141.845470544,-19.340564873,-104.498750684,72.795796011,2.606146614,-0.635364748,-3.119178890
24364.633000000,0.785394458,-0.000055303,-142.242015521,-22.942454778,-105.175337163,70.971551189,2.708369745,-0.495144882,-3.002725323
24364.659000000,0.785393238,-0.000056299,-142.556287438,-26.479959937,-105.921462820,69.083641358,2.793558714,-0.347547831,-2.906821018
24364.683000000,0.785391971,-0.000057364,-142.652700162,-29.867808222,-107.167826520,67.182491116,2.846520429,-0.178809757,-2.871351048
24364.709000000,0.785390682,-0.000058539,-142.844720326,-33.166400771,-108.412348815,65.254949130,2.900401932,-0.012253261,-2.836266755
24364.735000000,0.785389380,-0.000059771,-142.963725810,-36.346967839,-109.697829794,63.324964387,2.954484197,0.153536659,-2.807279448
24364.758000000,0.785388097,-0.000060990,-142.876776022,-39.378590111,-111.008426669,61.435833928,3.009578084,0.316637204,-2.786076152
24364.784000000,0.785386792,-0.000062327,-142.893934256,-42.274671371,-112.368577439,59.587202744,3.069027863,0.478384565,-2.773419583
24364.808000000,0.785385514,-0.000063643,-142.723914922,-45.026186511,-113.747347236,57.814565149,3.135515217,0.635868424,-2.771872336
24364.834000000,0.785384217,-0.000065074,-142.656870354,-47.642536746,-115.164993096,56.117027319,0.073560841,2.351268165,0.356316002
24364.860000000,0.785382949,-0.000066500,-142.548466005,-50.149487048,-116.383757468,54.511519411,0.148430907,2.201323195,0.358677028
24364.884000000,0.785381718,-0.000067889,-142.284544033,-52.538811779,-117.626305659,53.010026932,0.245825497,2.057264225,0.335785860
24364.910000000,0.785380475,-0.000069383,-142.135995175,-54.796616107,-118.905613769,51.628171054,0.393447629,1.919704092,0.261722996
24364.933000000,0.785379270,-0.000070835,-141.847785853,-56.965386847,-120.215444122,50.348162995,0.671183305,1.796667428,0.056386192
24364.959000000,0.785378054,-0.000072391,-141.682227447,-59.017033672,-121.566813423,49.201622059,1.323985916,1.714575524,-0.523950206
24364.985000000,0.785376844,-0.000073990,-141.517500009,-60.987012065,-122.986669199,48.169545750,2.225703040,1.739378459,-1.352814523
24365.009000000,0.785375674,-0.000075549,-141.231712794,-62.899773894,-124.473037829,47.222380510,2.652158900,1.837671591,-1.706140429
24365.035000000,0.785374492,-0.000077205,-141.069378347,-64.726627184,-125.996310964,46.408572484,2.847058136,1.950839889,-1.825961937
24365.061000000,0.785373324,-0.000078884,-140.912000505,-66.505250003,-127.546565036,45.691961821,2.964913668,2.064902215,-1.866205931
24365.088000000,0.785372161,-0.000080603,-140.783731944,-68.244079413,-129.124823885,45.071194018,3.051925900,2.176582704,-1.872545104
24365.114000000,0.785371018,-0.000082324,-140.641102779,-69.954000479,-130.726761378,44.523555174,3.123959467,2.284261330,-1.860689631
24365.137000000,0.785369922,-0.000083979,-140.404882467,-71.640455241,-132.337511694,44.009589220,0.045865949,0.754873206,1.304013684
24365.163000000,0.785368829,-0.000085665,-140.289048664,-73.297394332,-133.826443746,43.593496171,0.126496095,0.656680385,1.307753375
24365.189000000,0.785367746,-0.000087371,-140.189114071,-74.935350262,-135.355424379,43.230651499,0.201059652,0.562493007,1.321953769
24365.216000000,0.785366665,-0.000089112,-140.125032496,-76.559054667,-136.928543909,42.918935617,0.272698618,0.472618093,1.344138674
24365.242000000,0.785365600,-0.000090853,-140.051092094,-78.172196064,-138.538030375,42.630221938,0.342924080,0.387554155,1.372741326
24365.268000000,0.785364543,-0.000092612,-139.989349488,-79.774255037,-140.186156061,42.364994368,0.413400271,0.307554979,1.406599651
24365.291000000,0.785363531,-0.000094300,-139.837753838,-81.362055679,-141.847110465,42.071417167,0.484079921,0.233150312,1.444896602
24365.317000000,0.785362492,-0.000096089,-139.808604335,-82.935138800,-143.557627647,41.833973823,0.557097602,0.163923702,1.487108085
24365.341000000,0.785361498,-0.000097807,-139.685234697,-84.492657646,-145.277360925,41.552793277,0.631560953,0.100376188,1.532766701
24365.367000000,0.785360475,-0.000099629,-139.678286929,-86.039429174,-147.050347893,41.310684540,0.709172832,0.042237358,1.581742444
24365.393000000,0.785359456,-0.000101477,-139.678513932,-87.578716417,-148.864246170,41.054052164,0.789983496,-0.010467410,1.633685306
24365.420000000,0.785358433,-0.000103369,-139.703044962,-89.110101470,-150.723332225,40.783809095,0.874225839,-0.057541570,1.688500622
24365.446000000,0.785357421,-0.000105270,-139.709665861,-90.628794734,-152.616577148,40.479301174,0.961701744,-0.099007194,1.745587287
24365.472000000,0.785356413,-0.000107201,-139.715111203,-92.136598925,-154.549605040,40.142164925,1.052631682,-0.134882472,1.804808427
24365.495000000,0.785355449,-0.000109065,-139.621224235,-93.617791973,-156.480599840,39.738178033,1.145694077,-0.165183438,1.865220037
24365.521000000,0.785354449,-0.000111051,-139.627235193,-95.090992581,-158.472210772,39.330408307,1.242248258,-0.189869585,1.926949074
24365.548000000,0.785353444,-0.000113093,-139.643561529,-96.552920222,-160.507753436,38.882215173,1.341927507,-0.209244500,1.989655752
24365.574000000,0.785352449,-0.000115153,-139.630276298,-97.996476336,-162.570079992,38.379099185,1.444123766,-0.223332788,2.052677462
24365.600000000,0.785351457,-0.000117252,-139.605544795,-99.421622957,-164.662535939,37.825694895,1.548576064,-0.232179671,2.115669199
24365.623000000,0.785350513,-0.000119284,-139.477692951,-100.809794257,-166.736640674,37.204542847,1.653596668,-0.236043827,2.177644055
24365.649000000,0.785349530,-0.000121453,-139.433479018,-102.181382764,-168.858695091,36.555955862,1.760271921,-0.234448472,2.238699734
24365.675000000,0.785348551,-0.000123664,-139.370640796,-103.527057313,-171.000991760,35.853771161,1.867973447,-0.227560121,2.298278748
24365.699000000,0.785347620,-0.000125807,-139.206217269,-104.828035228,-173.115156309,35.093091050,1.974938599,-0.215877416,2.355358922
24365.725000000,0.785346649,-0.000128094,-139.113134390,-106.104078013,-175.264870492,34.298472994,2.082377760,-0.198835782,2.409922471
24365.752000000,0.785345674,-0.000130444,-139.015745140,-107.344000708,-177.423309428,33.458318648,2.189521243,-0.176947412,2.461244941
24365.778000000,0.785344711,-0.000132819,-138.876347848,-108.543823090,-179.577790979,32.571215642,2.296162962,-0.150538752,2.508903975
24365.804000000,0.785343751,-0.000135237,-138.713044693,-109.699654742,-181.725960959,31.644774891,2.401972899,-0.119714172,2.552232381
24365.827000000,0.785342841,-0.000137586,-138.453358539,-110.798528469,-183.835247160,30.686806645,2.505824805,-0.085255931,2.590283441
24365.853000000,0.785341889,-0.000140083,-138.251312556,-111.845257498,-185.949059399,29.706674543,2.608668946,-0.046523236,2.622238377
24365.879000000,0.785340941,-0.000142622,-138.024186779,-112.830612995,-188.050038331,28.704982002,2.710565368,-0.004222507,2.647276685
24365.901000000,0.785340076,-0.000145001,-137.666790678,-113.746721307,-190.085383217,27.703260351,2.810104551,0.039189724,2.665474769
24365.925000000,0.785339191,-0.000147472,-137.345873945,-114.602736232,-192.082579157,26.703601046,2.908662138,0.083535117,2.677554554
24365.946000000,0.785338360,-0.000149844,-136.956704430,-115.399320008,-194.010812746,25.720512286,3.005692711,0.127198719,2.684243746
24365.970000000,0.785337496,-0.000152328,-136.619799246,-116.139083430,-195.885763814,24.752008619,3.102449222,0.170235065,2.686002703
24365.992000000,0.785336677,-0.000154737,-136.234614853,-116.826547279,-197.692626539,23.808912318,0.056769758,2.930134833,-0.458316928
24366.018000000,0.785335804,-0.000157293,-135.942962280,-117.545227694,-199.320244173,22.889662136,0.149476280,2.889585084,-0.445940756
24366.045000000,0.785334939,-0.000159861,-135.634780740,-118.213822083,-200.893276380,21.999030439,0.242183071,2.849306378,-0.437647556
24366.068000000,0.785334141,-0.000162289,-135.254506452,-118.838936468,-202.403974538,21.148399782,0.333767207,2.810426364,-0.433046732
24366.094000000,0.785333324,-0.000164786,-134.900962462,-119.412099737,-203.849590104,20.339723623,0.425143317,2.772416657,-0.432204314
24366.117000000,0.785332547,-0.000167199,-134.515059413,-119.943303318,-205.233392319,19.577637861,0.515664406,2.736193333,-0.434775184
24366.142000000,0.785331770,-0.000169625,-134.142779730,-120.426517494,-206.548945866,18.867523841,0.605413769,2.701712721,-0.440590146
24366.165000000,0.785331018,-0.000172000,-133.760795717,-120.869739591,-207.805097282,18.209322966,0.694366504,2.669255936,-0.449332702
24366.186000000,0.785330320,-0.000174248,-133.347407889,-121.282248120,-209.009583278,17.599141721,0.782165404,2.639321860,-0.460727020
24366.213000000,0.785329542,-0.000176701,-133.021153262,-121.635636292,-210.133518827,17.057917065,0.869979455,2.610964556,-0.474984221
24366.236000000,0.785328824,-0.000179014,-132.657600292,-121.966112408,-211.220809784,16.561217634,0.956743284,2.585350240,-0.491264940
24366.262000000,0.785328067,-0.000181427,-132.341568643,-122.251154988,-212.244768849,16.130957114,1.043211642,2.561799016,-0.509709555
24366.288000000,0.785327320,-0.000183822,-132.032534638,-122.505625546,-213.224613315,15.755725548,1.128824957,2.540644405,-0.529819360
24366.312000000,0.785326632,-0.000186071,-131.694457496,-122.745475157,-214.178329850,15.417695389,1.212870338,2.522310080,-0.551011011
24366.338000000,0.785325902,-0.000188428,-131.407992794,-122.944740175,-215.074581293,15.149572105,1.296216191,2.505968494,-0.573498881
24366.364000000,0.785325182,-0.000190759,-131.131329524,-123.120525888,-215.936123719,14.931894666,1.378005940,2.491977752,-0.596603776
24366.391000000,0.785324462,-0.000193092,-130.875780084,-123.271449785,-216.759218007,14.768616748,1.458052383,2.480076428,-0.619919456
24366.417000000,0.785323758,-0.000195383,-130.627799236,-123.405470376,-217.554962645,14.648657123,1.536285292,2.470258372,-0.643211245
24366.440000000,0.785323115,-0.000197518,-130.358877015,-123.536603135,-218.338063554,14.547457541,1.611698248,2.462706323,-0.665770706
24366.466000000,0.785322428,-0.000199758,-130.143960476,-123.636691238,-219.075741514,14.514134794,1.685295898,2.456488952,-0.688087908
24366.492000000,0.785321747,-0.000201980,-129.945669304,-123.722426097,-219.791000575,14.521133163,1.756679317,2.451888130,-0.709725179
24366.516000000,0.785321125,-0.000204051,-129.727967195,-123.811147976,-220.500393645,14.534894771,1.825163296,2.448861587,-0.730116613
24366.542000000,0.785320458,-0.000206230,-129.564636581,-123.872895640,-221.172555468,14.613090238,1.891651365,2.446612463,-0.749796043
24366.568000000,0.785319797,-0.000208391,-129.418033603,-123.925006987,-221.829433205,14.723178705,1.955857486,2.445444065,-0.768448457
24366.594000000,0.785319132,-0.000210560,-129.296128884,-123.965501210,-222.468992445,14.869584061,2.017695818,2.445109722,-0.785908378
